,prompt,completion,actual_completion
2966,"3817 N Greenview Ave 2e Chicago, IL  60613 $1545.00 / Month --------------------------- Interested in this property? Reply to this listing for more information. --------------------------- Property Details: 0 BEDROOMS | 1 BATHROOMS West Lakeview - Larger Studio Large Dog Friendly ! Southport Corridor @ Grace & Greenview -3817 #2E MAY 2023 Come meet your next home on the second floor that is very bright and includes a dining area and separate kitchen. Great closet space throughout, hardwood floors and bright newer kitchenLarge dogs in Lakeview are welcome! A yearly fee of $550, no additional pet rent. Tenant ===> heat, cooking gas and electric. Water is $40 per monthOne time move in fee of $350 per adult. This fantastic location just east of Ashland and South of Irving Park has walk score boasting a 95 in West Lakeview! And this larger studio is a 10! ***Small Dogs, Cats, Large Dogs Allowed*** Property Type: Apartment Lease Terms: $1545.00/Month $0.00 Deposit Lease Length: One Year Available: 05/01/2023 Unit Amenities: Dryer Dishwasher Refrigerator Washer Building Amenities: Bicycle Parking Cable Ready Lawn Intercom Wired For Internet Washer Dryer Hookups On Site Laundry Secure Building --------------------------- Interested in this property? Reply to this listing for more information. -=>", 1501-2000, 1501-
2711,"Furnished Studio - Great Monthly Rates! Take advantage of our special discounted rate! All utilities are included! 888-844-0952 Looking for a place to call home for a month or longer? We have everything you need without the hassles of traditional apartments, all at a great rate. Each room comes with a fully equipped kitchen and plenty of workspace. And unlike apartments, cable and Wi-Fi are already hooked up and free! With no leases and no credit checks, we are move-in ready. So just bring yourself – and your furry family member – and feel right at home. Property Amenities All Rooms Non-Smoking Pet-Friendly Rooms Available Weekly Housekeeping Included On-Site Guest Laundry Picnic & Grilling Area Stove Top Burner Free Off-Street Parking In-Room Amenities Fully Equipped Kitchens Full-Size Refrigerator Electric Range Microwave Free In-Room Wi-Fi Flat Screen TVs Free Cable with Premium Channels Iron & Ironing Board Microwave Staying less than 1 month? We also have great nightly and weekly rates. Call for details. Booking conditions apply. Advertised rate is for a 30-night stay, and will vary by room type and stay dates. Rates and availability subject to change. Rate not inclusive of taxes or fees. Actual room may vary from those shown. Pet Policy: A $25 (+ tax) per day, per pet non-refundable cleaning fee for the first month (not to exceed $150 + tax per pet), payable the first night of your stay. Each month thereafter is a $10 non-refundable fee (+tax) per day for the first 5 days of each month (not to exceed $50 + tax per month, per pet). Weight, size, and breed restrictions may apply. This site may contain errors, inaccuracies, omissions or incomplete data (including without limitation mistaken hotel rates or availability). Extended Stay America reserves the right to rescind any stated offer and to correct any errors, inaccuracies or omissions including after a reservation order has been submitted and whether or not the order has been confirmed and your credit card charged. Extended Stay America - 1525 Busch Parkway, Buffalo Grove, IL 60089 -=>", 1501-2000, 1501-
1203,"Beautiful one bedroom and one bathroom apartment in Andersonville. This lovely apartment features shared rear deck, hardwood floors through out, an open living room and kitchen with stainless steel appliances, dishwasher, microwave and laundry on site. Garage Parking Available for $150/month but no spaces available. Tenants are responsible for the following utilities: Electric, Heat and Cooking Gas. This building is Cat Friendly with the max of 2 cats with a one-time fee of only $100 per cat! Apartment available 8/1/2022. **Photos are representative** If you are interested in viewing this beautiful apartment, please feel free to contact Ingrid at 773-759-1825 If you are interested in more or various other availabilities that we offer throughout Lincoln Park, Lakeview, Andersonville, Sheridan Park and Hyde Park please visit our website for out listings <URL> Lease Terms: No Security Deposit $400 Administrative Fee $75 Application Fee per adult $100 Cat Fee per Cat with a limit of 2 Equal Opportunity Housing This property is managed by: Realty & Mortgage Co. 1509 W. Berwyn Ave., Suite #200 Chicago, IL 60640 Ph: 773-989-8000 Fax: 773-989-6979 <URL> -=>", 1501-2000, 1501-
3555,"Amazing 1 bedroom, 1 bathroom apartment in Chicago. Amenities included: central heat, hardwood floors, updated kitchen, yard, back porch , and fire pit . Utilities included: heat, garbage and water. Is not pet friendly. 1 block from the pink line. -=>", 1001-1500, 1001-
354,"Interested in this property? Click on: Reply to this listing for more information ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on Velocity Apartment Group 312-253-7403 *****For faster response from one of our Agents, please provide your cell phone number, move date and email address when inquiring. Thank you. Availability and pricing may change at any time without notice. Ads subject to errors and omissions. Please contact agent for additional questions and information. Interested in this property? Click REPLY above and email us ** if you are texting us, please include the link to the listing so we can identify what you are inquiring on Lease term is -12 to 13 months No short term options! -=>", 3501-4000, 1501-
1823,"2 bed Vintage TOP FLOOR with Deck Space! FREE HEAT & WATER. Living room with Decorative Fireplace. REAL hardwood floors throughout. BOTH Bedrooms fit Queen Beds with room to space. BIG DOGS WELCOME(Fee Required), Cat ok NO FEE. EAT-in Kitchen with updated cabinets and counters. GOOD Credit Please. Parking is street(off-street is on-site but NONE available). If you need May 5th lease start, that can work, May 1 will not because landlord will need several days to prep the unit. NON-Smoking building. Tenant brings and supplies their own window AC unit. PICS: Exact unit but currently this is messy, paint and cleaning will be done on turnover! Walk to Berwyn Red Line, Mariano's and just steps to the Lake! -=>", 1501-2000, 1001-
2660,"3219 W 64th St, Chicago 2 ND floor Water Gas Electric included Se Habla Español Very nice neighborhood 1st months and last month required No deposit with approved credit Will not last available November 1st -=>", 1001-1500, 1001-
2683,"Beautifully renovated one bedroom located in Chicago's Austin neighborhood. Easy access to the Green Line, and minutes away from I-290, you can get anywhere! This unit includes: - Fresh Paint Throughout - Stainless Steel Appliances - New Cabinets - New Countertops - Owner Paid Heat * NO SECURITY DEPOSIT * AVAILABLE NOW * DON'T MISS THIS OPPORTUNITY * Ideal applicant will have no prior evictions. Call or text Juan at (773) 416-2804 to schedule a showing. -=>", 501-1000, 501-1000
2999,"About 11. W Division! This Unit is perfect for anyone looking to be in the middle of the Gold Coast area! The unit has windows with a beautiful view of the lake that allows for lots of sunlight for the plant growers and selfie lovers! There are bus stops and a subway entrance on Division and Clark for travel conveniences. The lake is a 6 minute walk from the property and there is a variety of trending restaurants and bars within walking distance! *RENT INCLUDES TRASH & WATER* Complimentary Amenities -  fiber Internet -Fitness -Laundry Unit 202 Features -Fits full/queen + small couch -Has window with street view and natural light - Updated Stainless steel appliances -Shower and bathtub Call, email, or text to tour now! Alexis L. Gonzalez BJB Properties, Inc. Leasing Consultant A G o n z a l e z <URL> 224.283.6851 <URL> Pictures are for marketing purposes only. Pictures may not reflect exact unit. -=>", 1001-1500, 1001-
2019,"My roommates and I are moving out of our beautiful, sunny apartment in Noble Square and looking for people to take over our lease starting on January 1st for 3 months with an option to renew in April. The apartment is a 3 bed/1 bath, 4th floor walk-up with southern facing windows overlooking Eckhart Park and with a view of downtown Chicago. The space is approximately 1000 square feet. Unfurnished. The kitchen is fully equipped with a refrigerator, dishwasher, and gas stove/oven. Quarter laundry is available in the basement. Free and easy street parking. Pet friendly with a deposit and a 50 lbs weight limit. Walkable, lively neighborhood. Easy to walk to Wicker Park and take the Blue Line to Logan Square or Bucktown. Plenty of bars and restaurants nearby and great neighbors. 0.2 miles from Chicago 66 Bus 0.3 miles from Ashland 9 Bus 0.4 miles from Division Blue Line 0.5 miles from Chicago Blue Line 0.5 miles from Jewel-Osco 1.2 miles from Damen Blue Line Must pay a $50 application fee, have good credit, and reliable income to apply. -=>", 1501-2000, 1501-
2289,"Furnished Studio - Great Monthly Rates! Take advantage of our special discounted rate! All utilities are included! 888-844-0952 Looking for a place to call home for a month or longer? We have everything you need without the hassles of traditional apartments, all at a great rate. Each room comes with a fully equipped kitchen and plenty of workspace. And unlike apartments, cable and Wi-Fi are already hooked up and free! With no leases and no credit checks, we are move-in ready. So just bring yourself – and your furry family member – and feel right at home. Property Amenities All Rooms Non-Smoking Pet-Friendly Rooms Available Weekly Housekeeping Included Free Grab-and-Go Breakfast On-Site Guest Laundry Free Off-Street Parking In-Room Amenities Fully Equipped Kitchens Full-Size Refrigerator Electric Range Microwave Free In-Room Wi-Fi Flat Screen TVs Free Cable with Premium Channels Iron & Ironing Board Staying less than 1 month? We also have great nightly and weekly rates. Call for details. Booking conditions apply. Advertised rate is for a 30-night stay, and will vary by room type and stay dates. Rates and availability subject to change. Rate not inclusive of taxes or fees. Actual room may vary from those shown. Pets are always welcome at Extended Stay America. A maximum of two pets are allowed in each suite. Pet fees vary by location to cover the cost of cleaning and guest room fumigation. Service animals will be exempt from this charge. Height and length restrictions apply: pets can be no longer than 36 inches and no taller than 36 inches. Larger, or more than two pets requires property manager’s approval. Please contact the property for questions. This site may contain errors, inaccuracies, omissions or incomplete data (including without limitation mistaken hotel rates or availability). Extended Stay America reserves the right to rescind any stated offer and to correct any errors, inaccuracies or omissions including after a reservation order has been submitted and whether or not the order has been confirmed and your credit card charged. Extended Stay America Suites - 1181 Rohlwing Rd., Itasca, IL 60143 -=>", 1501-2000, 1501-
